id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,hour,st_cluster
14117621,JK157505,2026-02-21 00:00:00,080XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,0612,006,17,71,14,1170714,1851406,2026,2026-02-28T15:41:06.000,41.747734887,-87.650025687,"{'latitude': '41.747734887', 'longitude': '-87.650025687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21554,70,487,13,59,20,230,17,0,1
14118508,JK158813,2026-02-21 00:00:00,072XX W ADDISON ST,0460,BATTERY,SIMPLE,STREET,False,False,1631,016,38,17,08B,1127353,1923081,2026,2026-02-28T15:41:06.000,41.945258073,-87.807308323,"{'latitude': '41.945258073', 'longitude': '-87.807308323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",39,22254,17,458,19,52,12,29,38,0,-1
14118583,JK158644,2026-02-21 00:00:00,011XX N MASSASOIT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1511,015,29,25,08B,1137812,1906979,2026,2026-02-28T15:41:06.000,41.900889815,-87.769253682,"{'latitude': '41.900889815', 'longitude': '-87.769253682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,4299,26,671,7,5,25,70,29,0,1
14117245,JK157190,2026-02-21 00:00:00,0000X W 95TH ST,0820,THEFT,$500 AND UNDER,CTA PARKING LOT / GARAGE / OTHER PROPERTY,False,False,0634,006,9,49,06,1177762,1841949,2026,2026-02-28T15:41:06.000,41.721627204,-87.624485177,"{'latitude': '41.721627204', 'longitude': '-87.624485177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21861,45,187,13,59,20,242,11,0,1
14117593,JK157593,2026-02-21 00:00:00,082XX S VERNON AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,0631,006,6,44,06,1180677,1850502,2026,2026-02-28T15:41:06.000,41.745031296,-87.613546137,"{'latitude': '41.745031296', 'longitude': '-87.613546137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,11,32,61,20,235,4,0,1
14117700,JK157859,2026-02-20 23:52:00,014XX N KEDVALE AVE,0580,STALKING,SIMPLE,APARTMENT,False,False,2534,025,36,23,08A,1148454,1909288,2026,2026-02-28T15:41:06.000,41.907027279,-87.730104783,"{'latitude': '41.907027279', 'longitude': '-87.730104783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,286,49,5,6,194,36,23,1
14117979,JK157050,2026-02-20 23:50:00,007XX N PULASKI RD,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1111,011,37,23,06,1149590,1904648,2026,2026-02-28T15:41:06.000,41.894272651,-87.726052394,"{'latitude': '41.894272651', 'longitude': '-87.726052394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,21572,24,99,45,30,16,68,37,23,1
14117143,JK157066,2026-02-20 23:49:00,038XX S MICHIGAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0212,002,3,35,15,1177831,1879513,2026,2026-02-28T15:41:06.000,41.824705249,-87.623096173,"{'latitude': '41.824705249', 'longitude': '-87.623096173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,1,446,9,36,24,101,8,23,1
14117173,JK157114,2026-02-20 23:45:00,017XX N MC VICKER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2513,025,29,25,08B,1135807,1910970,2026,2026-02-28T15:41:06.000,41.911877551,-87.776523159,"{'latitude': '41.911877551', 'longitude': '-87.776523159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52,22615,26,597,7,2,6,196,29,23,1
14117122,JK157058,2026-02-20 23:43:00,116XX S CHURCH ST,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,2212,022,19,75,18,1165381,1827630,2026,2026-02-28T15:41:06.000,41.682604282,-87.670238454,"{'latitude': '41.682604282', 'longitude': '-87.670238454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,22212,74,378,22,13,9,257,19,23,-1
