date,primary_type,latitude,longitude,location_description,arrest,year
2026-01-24 18:09:00,battery,41.853588984,-87.705610538,GAS STATION,False,2026
2026-01-24 18:05:00,theft,41.932191946,-87.64474923,SMALL RETAIL STORE,False,2026
2026-01-24 18:05:00,assault,41.768459991,-87.628247735,APARTMENT,True,2026
2026-01-24 18:00:00,theft,41.870389764,-87.625902397,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 18:00:00,theft,41.751164599,-87.612198632,SMALL RETAIL STORE,False,2026
2026-01-24 18:00:00,burglary,41.769257636,-87.61965013,STREET,False,2026
2026-01-24 18:00:00,burglary,41.894410424,-87.632667323,APARTMENT,False,2026
2026-01-24 18:00:00,battery,41.946338431,-87.73012398,APARTMENT,False,2026
2026-01-24 18:00:00,battery,41.947828587,-87.675179792,APARTMENT,False,2026
2026-01-24 18:00:00,criminal damage,41.955989415,-87.65020263,RESIDENCE,False,2026
2026-01-24 17:58:00,battery,41.736801192,-87.660660695,SIDEWALK,False,2026
2026-01-24 17:57:00,battery,41.852004263,-87.688536253,RESTAURANT,False,2026
2026-01-24 17:55:00,battery,41.775415691,-87.647103346,APARTMENT,False,2026
2026-01-24 17:55:00,criminal damage,41.778214495,-87.689712249,STREET,False,2026
2026-01-24 17:50:00,robbery,41.736345716,-87.585636406,SMALL RETAIL STORE,False,2026
2026-01-24 17:50:00,theft,41.969388501,-87.762056504,SMALL RETAIL STORE,False,2026
2026-01-24 17:47:00,theft,41.864493678,-87.639158,GROCERY FOOD STORE,False,2026
2026-01-24 17:40:00,battery,41.836895688,-87.613464437,APARTMENT,True,2026
2026-01-24 17:33:00,criminal trespass,41.866843668,-87.625816668,GAS STATION,True,2026
2026-01-24 17:25:00,battery,41.755903488,-87.618262465,APARTMENT,False,2026
2026-01-24 17:25:00,deceptive practice,41.903719523,-87.71039481,,False,2026
2026-01-24 17:20:00,intimidation,41.937953201,-87.815818146,RESIDENCE,False,2026
2026-01-24 17:20:00,criminal damage,41.915507284,-87.746047794,APARTMENT,False,2026
2026-01-24 17:20:00,theft,41.709225387,-87.608173849,STREET,False,2026
2026-01-24 17:19:00,other offense,41.684014753,-87.626476016,APARTMENT,False,2026
2026-01-24 17:15:00,narcotics,41.912737862,-87.745951942,STREET,True,2026
2026-01-24 17:00:00,theft,41.721795992,-87.619831237,APARTMENT,False,2026
2026-01-24 17:00:00,theft,41.942591134,-87.654190423,RESIDENCE - PORCH / HALLWAY,False,2026
2026-01-24 17:00:00,theft,41.720149833,-87.574077067,STREET,False,2026
2026-01-24 17:00:00,deceptive practice,41.794406612,-87.583931489,APARTMENT,False,2026
2026-01-24 17:00:00,criminal damage,41.884466819,-87.634266948,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 17:00:00,criminal damage,41.726288219,-87.657938626,RESIDENCE - GARAGE,False,2026
2026-01-24 17:00:00,sex offense,41.872290746,-87.74440213,STREET,False,2026
2026-01-24 17:00:00,theft,41.905888849,-87.670449364,STREET,False,2026
2026-01-24 17:00:00,deceptive practice,41.947664094,-87.770142819,RESIDENCE,False,2026
2026-01-24 16:56:00,other offense,41.703607846,-87.536494319,RESIDENCE,False,2026
2026-01-24 16:55:00,theft,41.866988841,-87.657205006,CONVENIENCE STORE,False,2026
2026-01-24 16:54:00,motor vehicle theft,41.976214404,-87.689164079,SMALL RETAIL STORE,False,2026
2026-01-24 16:50:00,interference with public officer,41.779211398,-87.686908538,STREET,True,2026
2026-01-24 16:46:00,narcotics,41.779104339,-87.694260593,STREET,True,2026
2026-01-24 16:40:00,theft,41.765465489,-87.56771848,RESIDENCE - PORCH / HALLWAY,False,2026
2026-01-24 16:34:00,other offense,41.845715307,-87.734314507,VEHICLE NON-COMMERCIAL,True,2026
2026-01-24 16:30:00,battery,41.894229934,-87.618962047,HOSPITAL BUILDING / GROUNDS,False,2026
2026-01-24 16:21:00,burglary,41.766240377,-87.631021229,APARTMENT,False,2026
2026-01-24 16:20:00,deceptive practice,41.760627796,-87.667346602,RESIDENCE,False,2026
2026-01-24 16:20:00,assault,41.980634157,-87.656529996,RESIDENCE - PORCH / HALLWAY,False,2026
2026-01-24 16:20:00,criminal damage,41.791160785,-87.579836586,STREET,False,2026
2026-01-24 16:15:00,theft,41.922347745,-87.696456264,OTHER (SPECIFY),False,2026
2026-01-24 16:05:00,other offense,41.791770601,-87.645091743,APARTMENT,False,2026
2026-01-24 16:05:00,assault,41.902139094,-87.766043189,RESTAURANT,False,2026
2026-01-24 16:02:00,motor vehicle theft,41.881951231,-87.633060512,HOTEL / MOTEL,False,2026
2026-01-24 16:00:00,theft,41.87096015,-87.656803343,STREET,False,2026
2026-01-24 16:00:00,motor vehicle theft,41.897831671,-87.772399069,STREET,False,2026
2026-01-24 16:00:00,deceptive practice,41.810325672,-87.619619954,STREET,False,2026
2026-01-24 16:00:00,other offense,41.899544838,-87.701726211,APARTMENT,False,2026
2026-01-24 16:00:00,motor vehicle theft,41.880539859,-87.74171184,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 16:00:00,battery,41.774867195,-87.693283486,ALLEY,False,2026
2026-01-24 16:00:00,burglary,41.878113871,-87.634262752,STREET,False,2026
2026-01-24 16:00:00,burglary,41.95059695,-87.786457456,STREET,False,2026
2026-01-24 16:00:00,deceptive practice,41.896664035,-87.629175344,GROCERY FOOD STORE,False,2026
2026-01-24 15:58:00,theft,41.814981268,-87.607565383,VEHICLE - DELIVERY TRUCK,False,2026
2026-01-24 15:57:00,battery,41.864217865,-87.702173146,SCHOOL - PUBLIC GROUNDS,False,2026
2026-01-24 15:52:00,weapons violation,41.772241567,-87.660734115,STREET,True,2026
2026-01-24 15:50:00,theft,41.866331725,-87.666379171,GROCERY FOOD STORE,False,2026
2026-01-24 15:50:00,battery,41.899841292,-87.748365913,APARTMENT,False,2026
2026-01-24 15:40:00,assault,41.806205981,-87.677056775,SIDEWALK,True,2026
2026-01-24 15:40:00,other offense,41.741279,-87.737030277,RESIDENCE,False,2026
2026-01-24 15:38:00,battery,41.793208273,-87.634129998,STREET,False,2026
2026-01-24 15:36:00,assault,41.72233542,-87.585546099,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 15:33:00,other offense,41.931610665,-87.793043659,APARTMENT,False,2026
2026-01-24 15:31:00,burglary,41.930546105,-87.752609371,APARTMENT,False,2026
2026-01-24 15:30:00,criminal damage,41.778018737,-87.596814885,STREET,False,2026
2026-01-24 15:30:00,assault,41.897940501,-87.765507343,RESIDENCE - PORCH / HALLWAY,False,2026
2026-01-24 15:30:00,battery,41.89313188,-87.748956027,STREET,False,2026
2026-01-24 15:24:00,criminal trespass,41.76680404,-87.605619683,POLICE FACILITY / VEHICLE PARKING LOT,False,2026
2026-01-24 15:18:00,battery,41.932067132,-87.701802367,STREET,True,2026
2026-01-24 15:13:00,other offense,41.749999135,-87.685592907,STREET,True,2026
2026-01-24 15:13:00,battery,41.895420271,-87.720469623,STREET,False,2026
2026-01-24 15:10:00,battery,41.895506812,-87.650674935,STREET,False,2026
2026-01-24 15:07:00,other offense,41.92568074,-87.686416893,APARTMENT,False,2026
2026-01-24 15:05:00,assault,41.783333227,-87.620553696,APARTMENT,False,2026
2026-01-24 15:03:00,battery,41.784223469,-87.65704862,RESIDENCE - PORCH / HALLWAY,False,2026
2026-01-24 15:00:00,burglary,41.976786669,-87.689915906,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 15:00:00,theft,41.841697204,-87.629249865,STREET,False,2026
2026-01-24 15:00:00,criminal damage,41.952940476,-87.784724278,STREET,False,2026
2026-01-24 15:00:00,criminal damage,41.77286691,-87.621061843,APARTMENT,False,2026
2026-01-24 15:00:00,theft,41.912882419,-87.690951238,STREET,False,2026
2026-01-24 15:00:00,battery,41.74939349,-87.560133157,RESIDENCE,False,2026
2026-01-24 15:00:00,theft,41.931549654,-87.641985159,NURSING / RETIREMENT HOME,False,2026
2026-01-24 15:00:00,motor vehicle theft,41.778732265,-87.781302411,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 15:00:00,motor vehicle theft,41.859614528,-87.648780851,STREET,False,2026
2026-01-24 15:00:00,motor vehicle theft,41.907100958,-87.68959485,STREET,False,2026
